original_text,textblob_label,roberta_label,textblob_polarity,roberta_confidence,match
"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️",positive,positive,0.475,0.9906877875328064,True
"Battery lasted longer than my first relationship (2 days).
Listening to Arijit singh songs on full volume since then still isn't getting over. Has more warmth than her. unlike her there's two way communication here as touchpad is very responsive. fingerprint lock is nice as it only opens up to me. 5 stars for this -1 for her",positive,positive,0.31666666666666665,0.8910505175590515,True
"Such a great deal.. very happy with the performance and battery life..Origional product..🥰❤️
Thank you Flipkart..!!!",positive,positive,0.6,0.9888296723365784,True
"Awesome build quality and very good display, battery and camera. Still new to macOS",positive,positive,0.6821212121212121,0.9822637438774109,True
"When i ordered and came to know about seller review,i was scared that in what condition i will get macbook. but i was wrong.

This is my first macbook and i am fully satisfied with the product with original packaging of apple and got genuine product.

It's very thin and light and looks very premium.

As A software developer, i installed intellij idea ide and guess what.
It's magic,it is opening just in a click and within 5 seconds.
Great performance, no heating issue, sound quality awesome an...
READ MORE",positive,positive,0.31708333333333333,0.4692973792552948,True
Super product,positive,positive,0.3333333333333333,0.9507879614830017,True
Go for it..its awesome,positive,positive,1.0,0.9735857844352722,True
"Best , best and best 🫶🏻👑🍎",positive,positive,1.0,0.9680894017219543,True
Its really very good and compact device.,positive,positive,0.9099999999999999,0.9800146818161011,True
"Superb built quality, Amazing performance and display quality...

Got it at 72k, wonderful product at great price.",positive,positive,0.8500000000000001,0.9773943424224854,True
"Great laptop. Very good performance, battery life and look and feel. Very happy with my purchase",positive,positive,0.9033333333333333,0.9880919456481934,True
Superb 😍,positive,positive,1.0,0.9751926064491272,True
Best powerful machine in all aspects,positive,positive,0.65,0.9559749960899353,True
just love how apple is in their own league!!,positive,positive,0.71875,0.9817138314247131,True
This is the first MacBook I ever have. And I must say no one can match Apple product.,positive,positive,0.25,0.9439995288848877,True
Product is nice but price droped by 6k after purchasing so feels a bit dispointed.,positive,negative,0.6,0.7539275288581848,False
Worth every penny u spend,positive,positive,0.3,0.6952482461929321,True
Its very good product.,positive,positive,0.9099999999999999,0.9740172624588013,True
"My first MacBook and also my first laptop. First I thought of buying a windows laptop as macbooks are way more expensive. But during the sale I bought it at 73k which is a steal deal. I am a college student and mainly bought it for coding, streaming videos and movies and also for some editing tasks.

I would like to tell you if you are not a gamer this is one of the best laptops you can have in this price range. Loved the design, the colour, the sound , the display, the battery backup and al...
READ MORE",positive,positive,0.3516666666666666,0.7635782361030579,True
"A good power pack laptop to go with,",positive,positive,0.7,0.6844002604484558,True
"This is my first macbook...was using windows since 3rd grade ...both are different but macOS feels so smooth and optimised.

As soon as I setted it up ... I got one update... offcourse I updated my Mac.

I am loving this product... Especially the screen corners are so thin with least bezels..
Battery life is amazing...used moderately for 1 day.. discharged 50 %",neutral,positive,0.061111111111111116,0.9111051559448242,False
First mac and it works like a beast,positive,positive,0.25,0.9503183364868164,True
This is the best in my entire life . Such a human Machine it is and 😀🎉,positive,positive,0.25,0.9890398979187012,True
Perfect one for office workers,positive,positive,1.0,0.9518200159072876,True
This is a great device as a personal laptop or work machine. The Full HD camera is a welcome addition. 6 month M365 subscription is free with this machine and that is a good add-on benefit. The small notch around the camera in the top middle of the screen is pretty neatly integrated and does not disturb. The build quality is fantastic and form factor is perfect to hold and operate.,positive,positive,0.4124999999999999,0.9813756942749023,True
"Just got the product, While detailed review will updated after couple of months usage.
From initial usage it's the best laptop i have used in my career",positive,positive,0.4666666666666666,0.9749568700790405,True
Very nice,positive,positive,0.78,0.922860860824585,True
Good for business work,positive,positive,0.7,0.8436288833618164,True
Good,positive,positive,0.7,0.6844374537467957,True
"I have been using Windows for the past 13-odd years. Although I am a huge Apple fan and hence decided to buy this machine. I am writing this review after 1 month of usage.

The performance it delivers is just unmatched. On practical usage, it can easily beat the high-end Windows laptops. You are gonna love it from the moment you unbox it and would kinda wanna eat it once it falls in your hands.

The Apple silicon laptops really over-deliver than their on-paper specs. If it fits your budget...
READ MORE",positive,positive,0.2972222222222222,0.9305050373077393,True
Superb,positive,positive,1.0,0.9032238125801086,True
Very nice product,positive,positive,0.78,0.9448643922805786,True
"This is my first MacBook Air with M2 chip.
Space grey color.
Overall performance is very good.
Battery is Good.
Display is superb.
Finally I owned my Mac.

But I need laptop bag.",positive,positive,0.40142857142857136,0.9512706398963928,True
"First time i have used macbook after windows and i would say i can't use windows again.beautiful display with amazing sound (specially dolby atmos feature) Performance of laptop is far better than windows top notch model laptops.

Flipkart delivery was worst part in this purchase.I have got this laptop 10 days after placing order and after making so much efforts.But overall i am satisfied with my purchase.",positive,positive,0.21883116883116885,0.9368667006492615,True
"The MacBook Air M2 is Apple's latest addition to its renowned lineup of ultraportable laptops, and it certainly has a lot to offer. With its sleek design, remarkable M2 chip, and impressive battery life, it's a compelling choice for many users. However, it's not without its downsides.

**Pros:**

1. **Stunning Design:** The MacBook Air M2 maintains the iconic, slim, and lightweight design that Apple is known for. It's an absolute head-turner with its aluminum chassis.

2. **M2 Chip Performanc...
READ MORE",positive,positive,0.49642857142857144,0.9498800039291382,True
Just go for it. Performance and beauty is really amazing. 😻,positive,positive,0.6000000000000001,0.9830101132392883,True
Design and build quality is excellent🤩... Performance is good enough for most users🙃... Handles day to day tasks with ease😉... Battery life is mind benging😅... Overall bang for the buck😎,positive,positive,0.3,0.9775509238243103,True
Nice Experience with mac,positive,positive,0.6,0.944350004196167,True
"Just as expected,Awesome!",neutral,positive,0.0,0.9817310571670532,False
"I'm reviewing after 2 months, honestly I assure that I have used many laptops but this is the most experience ever. Literally M2's have crucial or beast performance no doubt. It's feel like butter on a hot pan, and I suggest if you purchase M2 you should be go for the starlight colour seriously colour is very unique.",positive,positive,0.28630952380952385,0.940654456615448,True
EXPENSIVE BUT AMAZING! 🤯,positive,positive,0.12500000000000006,0.9798968434333801,True
Awesome ✨❤️,positive,positive,1.0,0.9815903306007385,True
Expected better. Has hinge problem,positive,neutral,0.2,0.5206677913665771,False
"2 weeks review, product is very optimal in performance, price a bit high but overall product satisfaction is always there when ever u purchase an apple product, would take time to get used to its apps those who r used to working on windows like I am. Good buy 👍",positive,positive,0.265,0.9646708369255066,True
"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.

Lastly the new Starlight colour just looks 😍 fantastic...",positive,positive,0.49567099567099565,0.984152615070343,True
Well I am a software developer. The laptop heats up really quickly. And once it does the device starts to lag,positive,neutral,0.3333333333333333,0.5702635049819946,False
"Awesome battery backup, performance wise no complaints , slick design and loved the midnight colour.... Although it's a fingerprint magnet

Delivery experience was very good",positive,positive,0.6119999999999999,0.9778215885162354,True
"Best machine
Super slim
Superb battery backup
Superb performance
Superb display
Premium design
Nice packaging
100% genuine
Far better than windows laptp",positive,positive,0.6592592592592592,0.9403808116912842,True
Blindly go for Macbook if your budget allows. No other laptop can provide this quality and premiumness,negative,positive,-0.21875,0.6134891510009766,False
Prefect product and perfect price. I bought this mac for 78k in big billion days. I have been using this for 3 days now. It is working properly and had no starches. It's perfectly original and the packaging was also good. Really satisfied.,positive,positive,0.4291666666666667,0.9830353260040283,True
Most powerful laptop out there.,positive,positive,0.4,0.9572617411613464,True
I ordered Macbook Air - 8GB RAM and 512GB Storage. I am happy with this product. It's expensive but it is valuable product and worth to have it. I am also happy with Flipkart services. I received it within 3 days. I recommended to buy this kind of expensive product from Flipkart as well.,positive,positive,0.25,0.9616485238075256,True
"The deep midnight color is striking and adds a touch of elegance. The viewing experience is truly remarkable, providing vivid and immersive visuals. It's suitable for standard video and photo editing tasks. However, for users engaging in intensive video editing, it is advisable to choose the 512GB storage option due to the slower SSD speed of the 256GB model. Overall, considering the features and performance at this price point, it's a compelling deal.",positive,positive,0.25,0.933353066444397,True
"First time i have purchased a apple macbook and i am fully satisfied with the product, the design and looks of this are insane and just loves the product very much and the midnight colour is awesome, definitely value for money.",positive,positive,0.16833333333333333,0.9894701242446899,True
Just moved from my old macbook air to M2 air. Overall the laptop is fast and capable of doing all the tasks required. Battery backup is very good. Overall happy with the purchase.,positive,positive,0.3157142857142857,0.9568623900413513,True
"The product is osm, you can go with this without any hesitation
I am writing the review almost purchasing after 2 months.
Display and design 10/10
Speaker and camera 10/10
Performance and build quality 10/10
Battery backup 10/10 unbelievable

I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice and i am running the coding apps on the mac till now no lagging seen. It is working ve...
READ MORE",positive,positive,0.354,0.972615659236908,True
"It's my first macbook. It was totally a different feeling to own it. Right from its aesthetic finish look to its performance... All r just amazing. Silver macbook has different royalty and classic touch. The sleek design and light weight makes it to carry wherever and whenever. The M2 chip does the work. The transfers and downloads were way faster. The battery life is fine... Camera is great... Overall, if u really want to shift from windows to MacOS then just go for it. Apart from the cost,...
READ MORE",positive,positive,0.32454212454212455,0.9772089719772339,True
"So beautiful,so elegant,just looking like a wow, starlight colour wow😍",neutral,positive,0.1,0.9774169921875,False
"The MacBook Air M2 truly sets a new standard in performance and portability. Powered by the impressive M2 chip, it effortlessly handles demanding tasks while maintaining remarkable speed and efficiency. The sleek design, lightweight build, and vibrant Retina display make it a joy to use on the go. With its exceptional battery life and immersive audio, the MacBook Air M2 offers an unparalleled experience for both work and entertainment. It's a remarkable laptop that perfectly balances power an...
READ MORE",positive,positive,0.5336088154269972,0.9726075530052185,True
Just a hype.,neutral,neutral,0.0,0.5766869187355042,True
"It's a excellent choice, specially if you are buying it for work, free lancing and to learn new skills, It is great in both performance and battery in this price. Absolutely buy it. Giving it a 4 star as the piece I got has a little tight hinge and it won't open single handedly, which doesn't give a good Impression, and I can't even return it now and have to go apple service centre, But be real everybody doesn't have time to waste a whole day for this problem.",positive,positive,0.23971474953617816,0.9316425323486328,True
Very good battery 🔋 and performance,positive,positive,0.9099999999999999,0.9665438532829285,True
Good,positive,positive,0.7,0.6844374537467957,True
"Happy with the delivery; got it early in the same day, although expected was 3 days from the order.

Thought to buy asus oled additionally but it very much matches that quality and punchiness in colors!",positive,positive,0.225,0.969953715801239,True
"Review after 1 week
Performance 10/10
Display 10/10
Easier to use
Light weight like we hold a book in hand 👌
Happy with the product and installation speed as well as top notch on transferring data.
My first Macbook after Windows...",positive,positive,0.48750000000000004,0.9484665393829346,True
